GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pbl5,com.example,Main.ActiveEngine,0,14,0,0,0,3,0,1,0,1
pbl5,com.example,Main.TaskDto,0,3,0,0,0,1,0,1,0,1
pbl5,com.example,PhotoMsg,0,29,0,0,0,8,0,2,0,2
pbl5,com.example,Main.QueueHandler,17,131,5,13,4,24,5,7,0,3
pbl5,com.example,PriorityDoctorInbox,78,374,20,30,8,88,18,21,1,12
pbl5,com.example,Main.RemoveHandler,26,68,2,6,7,19,2,5,0,3
pbl5,com.example,ConsoleUpdateSink,0,83,0,0,0,11,0,4,0,4
pbl5,com.example,Main.ConfigDto,0,3,0,0,0,1,0,1,0,1
pbl5,com.example,Main.StatusHandler,34,0,0,0,8,0,2,0,2,0
pbl5,com.example,Main.TaskHandler,34,112,8,10,8,29,7,4,0,2
pbl5,com.example,QueueUpdate,0,12,0,0,0,5,0,1,0,1
pbl5,com.example,MPDoctorQueueManager,0,159,0,8,0,30,0,12,0,8
pbl5,com.example,DoctorQueueManager,0,168,0,8,0,33,0,13,0,9
pbl5,com.example,MessagePassingDoctorInbox,0,167,1,10,0,38,1,18,0,12
pbl5,com.example,MessagePassingEngine,8,167,2,8,2,47,2,14,0,11
pbl5,com.example,Main,55,127,0,4,11,25,1,8,1,6
pbl5,com.example,MonitorEngine,4,54,0,2,1,15,1,8,1,7
pbl5,com.example,Main.ConfigHandler,33,116,4,10,10,24,4,5,0,2
pbl5,com.example,PhotoMsg.Urgency,0,21,0,0,0,1,0,1,0,1
pbl5,com.example,HttpWebhookUpdateSink,0,124,0,0,0,25,0,5,0,5
pbl5,com.example,Main.RemoveDto,0,3,0,0,0,1,0,1,0,1
pbl5,com.example,QueueEngine,0,24,0,0,0,8,0,2,0,2
pbl5,com.example,QueueUpdate.QueueItem,0,12,0,0,0,5,0,1,0,1
